Module Plural,Module Singular,field name,Label english,Reportable,Required,Audit,Importable,Search,mass update,Dependent,default value,field help,field comment,type,options,options name value english,range search enable,length,Label German,options name value german
Contacts,Contact,aud_contact_type,Customer Type,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,enum,aud_customer_type,"Company'=>'Company','Person'=>'Person'",,50,Kundentyp,"Company'=>'Firma','Person'=>'Person'"
Contacts,Contact,aud_icon_type,Icon Type,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,This is icon,image,,,,,icon_typ,
Contacts,Contact,aud_icon_de,icon_de,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,This is icon,image,,,,,icon_de,
Contacts,Contact,aud_titel,Titel,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,varchar,,,,50,titel,
Contacts,Contact,aud_adel,Adel,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,varchar,,,,100,Adel,
Contacts,Contact,aud_job,Job,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,varchar,,,,255,Beruf,
Contacts,Contact,aud_job_title,Job title,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,varchar,,,,255,Berufsbezeichnung,
Contacts,Contact,aud_job_position,Job position,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,varchar,,,,255,Position im Beruf,
Contacts,Contact,aud_set_phrase,Set phrase,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,varchar,,,,255,Floskel,
Contacts,Contact,aud_category_of_interest,Category of iterest,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,enum,aud_category_of_interest_list,"A'=>'A','B'=>'B','C'=>'C','D'=>'D'",,1,Interessentenkategorie,"A'=>'A','B'=>'B','C'=>'C','D'=>'D'"
Contacts,Contact,aud_reason_for_blocking,Reason for blocking,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,enum,aud_reason_for_blocking_list,"Add_ungueltig'=>'Address postal invalid','Annahme_verweigert'=>'Adoption denied','Frima_erloschen'=>'Company closed','Haenderablehung'=>'Dealer rejected by Contact','keine_DE'=>'no DE','keine_Mafo'=>'No MaFo/Advertising','Mitarbeiter_ausgeschieden'=>'Employee excreted','Sendung_nicht_abgeholt'=>'Shipment not collected','unbekannt'=>'Unkown','verstorben'=>'dead','Papierkorp'=>'Recycle bin'",,50,Sperrgrund,"Add_ungueltig'=>'Adresse postalisch ung?Åltig','Annahme_verweigert'=>'Annahme verweigert','Frima_erloschen'=>'Firma erlîschen','Haenderablehung'=>'HÑndlerablehnung durch Kunde','keine_DE'=>'keine DE','keine_Mafo'=>'keine Mafo/Werbung','Mitarbeiter_ausgeschieden'=>'Mitarbeiter ausgeschieden','Sendung_nicht_abgeholt'=>'Sendung nicht abgeholt','unbekannt'=>'unbekannt/ unbekannt verzogen','verstorben'=>'verstorben','Papierkorp'=>'Papierkorb'"
Contacts,Contact,aud_reason_for_blocking_note,Reason for blocking note,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,varchar,,,,255,Notiz zum Sperrgrund,
Contacts,Contact,aud_reason_for_blocking_date,Reason for blocking date,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,date,,,,0,Datum Sperrgrund,
Contacts,Contact,aud_phone_de_flag,DE Phone,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,int,,,,1,DE-Kennung (Telefon),
Contacts,Contact,aud_email_de_flag,DE Email,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,int,,,,1,DE-Kennung (Email),
Contacts,Contact,aud_address_de_flag,DE Address,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,int,,,,1,DE-Kennung (Adrese),
